Arrestados segun edad sexo y nacionalidad,Número de arrestos,Periodo,Año
Edad 31 a 35,1151,Julio-Septiembre,2022
Edad 36 a 40,1035,Julio-Septiembre,2022
Edad 41 a 45,747,Julio-Septiembre,2022
Edad 46 a 50,455,Julio-Septiembre,2022
Edad 51 a mas,1367,Julio-Septiembre,2022
Hombres,8176,Julio-Septiembre,2022
Mujeres,114,Julio-Septiembre,2022
Dominicanos,7619,Julio-Septiembre,2022
Extranjeros,674,Julio-Septiembre,2022
Edad 1 a 17,86,Octubre-Diciembre,2022
Edad 18 a 25,2154,Octubre-Diciembre,2022
Edad 26 a 30,1567,Octubre-Diciembre,2022
Edad 31 a 35,1207,Octubre-Diciembre,2022
Edad 36 a 40,1206,Octubre-Diciembre,2022
Edad 41 a 45,889,Octubre-Diciembre,2022
Edad 46 a 50,518,Octubre-Diciembre,2022
Edad 51 a mas,1022,Octubre-Diciembre,2022
Hombres,8495,Octubre-Diciembre,2022
Mujeres,154,Octubre-Diciembre,2022
Dominicanos,7891,Octubre-Diciembre,2022
Extranjeros,758,Octubre-Diciembre,2022
Edad 1 a 17,31,Enero-Marzo,2023
Edad 18 a 25,645,Enero-Marzo,2023
Edad 26 a 30,480,Enero-Marzo,2023
Edad 31 a 35,396,Enero-Marzo,2023
Edad 36 a 40,290,Enero-Marzo,2023
Edad 41 a 45,196,Enero-Marzo,2023
Edad 46 a 50,391,Enero-Marzo,2023
Edad 51 a mas,391,Enero-Marzo,2023
Hombres,2770,Enero-Marzo,2023
Mujeres,40,Enero-Marzo,2023
Dominicanos,2599,Enero-Marzo,2023
Extranjeros,211,Enero-Marzo,2023
Edad 1 a 17,64,Abril-Junio,2023
Edad 18 a 25,1842,Abril-Junio,2023
Edad 26 a 30,1398,Abril-Junio,2023
Edad 31 a 35,1134,Abril-Junio,2023
Edad 36 a 40,1094,Abril-Junio,2023
Edad 41 a 45,837,Abril-Junio,2023
Edad 46 a 50,545,Abril-Junio,2023
Edad 51 a mas,1162,Abril-Junio,2023
Hombres,7955,Abril-Junio,2023
Mujeres,121,Abril-Junio,2023
Dominicanos,7383,Abril-Junio,2023
Extranjeros,693,Abril-Junio,2023
